,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamento,aumento_reducao_caixa_equivalentes,datas,tic
23,45840.0,-151.4,-19630.0,28590.0,31/12/2018,BBAS3
24,7520.0,-14520.0,-655.29,-6370.0,30/09/2018,BBAS3
25,3610.0,-5770.0,-1460.0,-146.78,30/06/2018,BBAS3
26,18140.0,-4510.0,-2510.0,11340.0,31/03/2018,BBAS3
27,-29530.0,-1280.0,-9720.0,-40480.0,31/12/2017,BBAS3
28,-3520.0,-2460.0,-724.56,-7960.0,30/09/2017,BBAS3
29,-15060.0,-4860.0,1030.0,-19150.0,30/06/2017,BBAS3
30,-71180.0,40610.0,-1290.0,-31050.0,31/03/2017,BBAS3
31,21780.0,11680.0,-8230.0,15870.0,31/12/2016,BBAS3
32,13280.0,-4560.0,1410.0,10590.0,30/09/2016,BBAS3
33,-5280.0,-4580.0,-4300.0,-18180.0,30/06/2016,BBAS3
34,-7090.0,-2640.0,-4700.0,-18570.0,31/03/2016,BBAS3
35,45470.0,3830.0,2440.0,56080.0,31/12/2015,BBAS3
36,9130.0,-948.27,9980.0,28670.0,30/09/2015,BBAS3
37,-1700.0,431.72,-1830.0,-4480.0,30/06/2015,BBAS3
38,2570.0,-5940.0,3670.0,7470.0,31/03/2015,BBAS3
39,-9380.0,6710.0,6500.0,8690.0,31/12/2014,BBAS3
40,-31310.0,1110.0,2280.0,-23980.0,30/09/2014,BBAS3
41,32210.0,-26260.0,5950.0,11060.0,30/06/2014,BBAS3
42,-1850.0,1900.0,115.62,-990.6,31/03/2014,BBAS3
43,6680.0,6010.0,11160.0,27290.0,31/12/2013,BBAS3
44,11530.0,-1480.0,-2440.0,7950.0,30/09/2013,BBAS3
45,-14210.0,9240.0,1610.0,-871.2,30/06/2013,BBAS3
46,2500.0,-21590.0,8740.0,-10870.0,31/03/2013,BBAS3
47,26130.0,-8550.0,10120.0,29330.0,31/12/2012,BBAS3
48,4840.0,-8510.0,7890.0,4420.0,30/09/2012,BBAS3
49,1090.0,-8130.000000000001,6440.0,1070.0,30/06/2012,BBAS3
50,-8250.0,11180.0,2570.0,5090.0,31/03/2012,BBAS3
51,45160.0,-9360.0,-3630.0,34550.0,31/12/2011,BBAS3
52,3230.0,-372.25,1200.0,4650.0,30/09/2011,BBAS3
53,7440.0,-3030.0,1980.0,5780.0,30/06/2011,BBAS3
54,2730.0,-544.34,-720.39,1480.0,31/03/2011,BBAS3
0,-6280.0,8500.0,-4050.0,-1930.0,30/09/2024,BBDC3
1,28570.0,-6580.0,-13280.0,8790.0,30/06/2024,BBDC3
2,17680.0,2780.0,-1060.0,19220.0,31/03/2024,BBDC3
3,-81010.0,7160.0,8760.0,-65010.00000000001,31/12/2023,BBDC3
4,79570.0,9870.0,-10620.0,78880.0,30/09/2023,BBDC3
5,-19740.0,15050.0,-10250.0,-15030.0,30/06/2023,BBDC3
6,21000.0,51520.0,-10960.0,61760.0,31/03/2023,BBDC3
7,-32520.000000000004,3860.0,-1860.0,-30350.0,31/12/2022,BBDC3
8,43650.0,-10720.0,13450.0,46420.0,30/09/2022,BBDC3
9,562.2,-17660.0,6290.0,-10660.0,30/06/2022,BBDC3
10,30070.0,6750.0,4040.0,41380.0,31/03/2022,BBDC3
11,,,,,31/12/2021,BBDC3
12,-3710.0,-11720.0,7430.0,-7810.0,30/09/2021,BBDC3
13,-13830.0,-5440.0,-5330.0,-25530.0,30/06/2021,BBDC3
14,-12170.0,-32770.0,-20290.0,-64489.99999999999,31/03/2021,BBDC3
15,177880.0,77130.0,-112300.0,145170.0,31/12/2020,BBDC3
16,52790.0,17180.0,-11140.0,56880.0,30/09/2020,BBDC3
17,54830.0,8130.000000000001,-4500.0,58770.0,30/06/2020,BBDC3
18,40370.0,-5460.0,5290.0,41830.0,31/03/2020,BBDC3
19,16000.0,41340.0,-90210.0,-32870.0,31/12/2019,BBDC3
20,-30000.0,-10200.0,-7930.0,-47730.0,30/09/2019,BBDC3
21,6100.0,-2800.0,3310.0,6700.0,30/06/2019,BBDC3
22,-13270.0,17900.0,1270.0,6120.0,31/03/2019,BBDC3
23,28950.0,22190.0,-81490.0,-30350.0,31/12/2018,BBDC3
24,20880.0,-14260.0,-2570.0,4350.0,30/09/2018,BBDC3
25,-21130.0,-20060.0,936.7,-40170.0,30/06/2018,BBDC3
26,11110.0,-17890.0,-2790.0,-9340.0,31/03/2018,BBDC3
27,71000.0,38440.0,-119200.0,-9760.0,31/12/2017,BBDC3
28,30390.0,-22990.0,-4530.0,2840.0,30/09/2017,BBDC3
29,-2920.0,-9250.0,2560.0,-8910.0,30/06/2017,BBDC3
30,10830.0,5090.0,-6220.0,9320.0,31/03/2017,BBDC3
31,89410.0,65820.0,-99420.0,55810.0,31/12/2016,BBDC3
32,40730.0,-19690.0,265.43,21310.0,30/09/2016,BBDC3
33,5220.0,-15740.0,482.72,-10040.0,30/06/2016,BBDC3
34,14200.0,20430.0,-3920.0,30720.0,31/03/2016,BBDC3
35,-22990.0,44710.0,-62900.0,-41180.0,31/12/2015,BBDC3
36,-20110.0,-4610.0,-120.39,-21770.0,30/09/2015,BBDC3
37,-28080.0,3430.0,-904.45,-25550.0,30/06/2015,BBDC3
38,1530.0,-3180.0,-979.99,-2620.0,31/03/2015,BBDC3
39,116870.0,53230.0,-66900.0,103200.0,31/12/2014,BBDC3
40,46760.0,583.42,4.82,47350.0,30/09/2014,BBDC3
41,-7150.0,16710.0,-706.72,8860.0,30/06/2014,BBDC3
42,15270.0,-5310.0,-2420.0,7530.0,31/03/2014,BBDC3
43,135280.0,33480.0,-82270.0,86500.0,31/12/2013,BBDC3
44,4810.0,12340.0,-1230.0,15920.0,30/09/2013,BBDC3
45,97330.0,-13820.0,924.83,84430.0,30/06/2013,BBDC3
46,-1860.0,-19470.0,-2350.0,-23680.0,31/03/2013,BBDC3
47,87060.0,11870.0,-72040.0,26890.0,31/12/2012,BBDC3
48,13530.0,26190.0,-568.75,39150.0,30/09/2012,BBDC3
49,27510.0,-23880.0,3780.0,7420.0,30/06/2012,BBDC3
50,28780.0,-28310.0,855.15,1330.0,31/03/2012,BBDC3
51,-1610.0,73350.0,-54930.0,16810.0,31/12/2011,BBDC3
52,-22470.0,9630.0,715.7,-12130.0,30/09/2011,BBDC3
53,-12590.0,-2670.0,-6.3,-15270.0,30/06/2011,BBDC3
54,29180.0,-5070.0,-2590.0,21520.0,31/03/2011,BBDC3
0,-6280.0,8500.0,-4050.0,-1930.0,30/09/2024,BBDC4
1,28570.0,-6580.0,-13280.0,8790.0,30/06/2024,BBDC4
2,17680.0,2780.0,-1060.0,19220.0,31/03/2024,BBDC4
3,-81010.0,7160.0,8760.0,-65010.00000000001,31/12/2023,BBDC4
4,79570.0,9870.0,-10620.0,78880.0,30/09/2023,BBDC4
5,-19740.0,15050.0,-10250.0,-15030.0,30/06/2023,BBDC4
6,21000.0,51520.0,-10960.0,61760.0,31/03/2023,BBDC4
7,-32520.000000000004,3860.0,-1860.0,-30350.0,31/12/2022,BBDC4
8,43650.0,-10720.0,13450.0,46420.0,30/09/2022,BBDC4
9,562.2,-17660.0,6290.0,-10660.0,30/06/2022,BBDC4
10,30070.0,6750.0,4040.0,41380.0,31/03/2022,BBDC4
11,,,,,31/12/2021,BBDC4
12,-3710.0,-11720.0,7430.0,-7810.0,30/09/2021,BBDC4
13,-13830.0,-5440.0,-5330.0,-25530.0,30/06/2021,BBDC4
