,retorno_sobre_capital_tangivel_inicial,retorno_sobre_capital_investido_inicial,retorno_sobre_capital_tangivel_inicial_pre_impostos,retorno_sobre_capital_investido_inicial_pre_impostos,retorno_sobre_patrimonio_liquido_inicial,retorno_sobre_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_do_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda,datas,tic
20,,,,,,,0.505,-0.987,-0.472,-0.248,NA,1.67,0.67,7.90,31/12/2019,BRAV3
0,0.002,0.002,0.002,0.002,0.236,0.018,1.0,0.531,0.063,0.084,0.03,18.71,17.71,429.53,31/12/2024,BRBI11
1,0.002,0.002,0.003,0.003,0.251,0.021,1.0,0.549,0.077,0.099,0.04,15.31,14.31,322.45,30/09/2024,BRBI11
2,0.002,0.002,0.003,0.003,0.229,0.019,1.0,0.587,0.086,0.112,0.03,15.24,14.24,297.75,30/06/2024,BRBI11
3,0.002,0.002,0.003,0.003,0.216,0.02,1.0,0.614,0.089,0.113,0.03,13.53,12.53,304.57,31/03/2024,BRBI11
4,0.001,0.001,0.001,0.002,0.193,0.02,1.0,0.629,0.045,0.072,0.03,13.09,12.09,507.20,31/12/2023,BRBI11
5,0.003,0.003,0.004,0.004,0.189,0.022,1.0,0.641,0.116,0.142,0.03,12.15,11.15,245.96,30/09/2023,BRBI11
6,0.004,0.004,0.006,0.006,0.183,0.026,1.0,0.61,0.144,0.164,0.04,12.02,11.02,214.35,30/06/2023,BRBI11
7,0.008,0.008,0.012,0.012,0.185,0.034,1.0,0.591,0.197,0.218,0.06,10.86,9.86,141.61,31/03/2023,BRBI11
8,0.017,0.017,0.025,0.026,0.192,0.048,1.0,0.586,0.278,0.296,0.08,9.79,8.79,91.77,31/12/2022,BRBI11
9,0.03,0.032,0.046,0.048,0.187,0.055,0.985,0.562,0.444,0.455,0.10,8.59,7.59,47.77,30/09/2022,BRBI11
10,0.065,0.136,0.098,0.206,0.209,0.107,0.276,0.161,0.136,0.139,0.66,7.15,6.15,33.28,30/06/2022,BRBI11
11,0.282,0.277,0.428,0.42,0.455,0.156,0.365,0.225,0.177,0.18,0.69,5.47,4.47,26.17,31/03/2022,BRBI11
12,0.183,0.272,0.278,0.412,0.472,0.182,0.945,0.612,0.452,0.458,0.30,3.97,2.97,18.66,31/12/2021,BRBI11
13,0.286,0.425,0.433,0.643,0.444,0.171,0.073,0.103,0.126,0.128,1.67,3.42,2.42,9.94,30/09/2021,BRBI11
14,0.283,0.42,0.428,0.636,0.372,0.144,0.037,0.087,0.126,0.128,1.65,1.95,0.95,-0.65,30/06/2021,BRBI11
15,0.28,0.417,0.425,0.631,0.334,0.129,0.045,0.086,0.137,0.14,1.50,2.91,1.91,-0.30,31/03/2021,BRBI11
16,,,,,,,0.038,0.072,0.109,0.111,NA,2.59,1.59,-0.34,31/12/2020,BRBI11
0,0.181,0.175,0.274,0.266,0.215,0.056,0.258,0.052,0.111,0.169,1.07,4.15,3.15,0.92,31/12/2024,BRFS3
1,0.159,0.153,0.241,0.231,0.231,0.055,0.25,0.056,0.101,0.16,0.98,3.66,2.66,0.94,30/09/2024,BRFS3
2,0.118,0.112,0.179,0.17,0.203,0.034,0.227,0.033,0.077,0.136,1.04,3.92,2.92,1.41,30/06/2024,BRFS3
3,0.06,0.057,0.091,0.086,-0.048,-0.008,0.193,-0.009,0.042,0.103,0.93,3.76,2.76,1.85,31/03/2024,BRFS3
4,0.022,0.021,0.034,0.031,-0.18,-0.035,0.165,-0.038,0.016,0.076,0.93,3.84,2.84,2.67,31/12/2023,BRFS3
5,-0.01,-0.01,-0.016,-0.014,-0.308,-0.062,0.15,-0.068,-0.007,0.051,0.91,4.20,3.20,4.13,30/09/2023,BRFS3
6,-0.008,-0.007,-0.011,-0.011,-0.281,-0.06,0.151,-0.063,-0.005,0.052,0.95,5.93,4.93,5.77,30/06/2023,BRFS3
7,0.006,0.005,0.009,0.008,-0.212,-0.047,0.158,-0.048,0.004,0.06,0.99,5.62,4.62,4.86,31/03/2023,BRFS3
8,-0.004,-0.003,-0.006,-0.005,-0.374,-0.057,0.151,-0.059,-0.002,0.053,0.96,5.13,4.13,5.39,31/12/2022,BRFS3
9,0.036,0.033,0.055,0.05,-0.175,-0.025,0.174,-0.025,0.024,0.078,0.99,4.92,3.92,3.80,30/09/2022,BRFS3
10,0.041,0.039,0.062,0.059,-0.179,-0.03,0.177,-0.029,0.028,0.083,1.03,4.66,3.66,3.59,30/06/2022,BRFS3
11,0.054,0.052,0.083,0.078,-0.142,-0.023,0.184,-0.024,0.037,0.093,0.97,4.48,3.48,2.92,31/03/2022,BRFS3
12,0.088,0.085,0.134,0.128,0.049,0.008,0.21,0.009,0.062,0.119,0.97,6.61,5.61,3.11,31/12/2021,BRFS3
13,0.093,0.088,0.14,0.134,0.057,0.008,0.216,0.009,0.063,0.121,0.90,6.98,5.98,3.10,30/09/2021,BRFS3
14,0.092,0.087,0.139,0.132,0.133,0.019,0.221,0.021,0.067,0.126,0.89,5.95,4.95,2.83,30/06/2021,BRFS3
15,0.09,0.09,0.136,0.136,0.224,0.031,0.229,0.035,0.071,0.131,0.87,6.19,5.19,2.84,31/03/2021,BRFS3
16,0.084,0.084,0.127,0.128,0.175,0.033,0.24,0.035,0.072,0.133,0.95,5.78,4.78,2.83,31/12/2020,BRFS3
17,0.082,0.08,0.124,0.122,0.162,0.027,0.24,0.031,0.072,0.135,0.86,7.22,6.22,2.90,30/09/2020,BRFS3
18,0.089,0.087,0.135,0.132,0.171,0.029,0.243,0.034,0.084,0.149,0.85,7.20,6.20,2.85,30/06/2020,BRFS3
19,0.092,0.092,0.14,0.14,0.185,0.029,0.252,0.036,0.096,0.161,0.82,7.30,6.30,2.66,31/03/2020,BRFS3
20,0.086,0.08,0.131,0.122,0.043,0.007,0.242,0.009,0.088,0.157,0.79,5.28,4.28,2.74,31/12/2019,BRFS3
21,0.072,0.061,0.11,0.093,-0.288,-0.056,0.224,-0.076,0.075,0.142,0.73,6.06,5.06,3.24,30/09/2019,BRFS3
22,0.04,0.035,0.061,0.052,-0.396,-0.078,0.205,-0.112,0.042,0.106,0.70,5.85,4.85,4.61,30/06/2019,BRFS3
23,-0.009,-0.008,-0.014,-0.012,-0.485,-0.12,0.164,-0.176,-0.01,0.052,0.68,6.34,5.34,10.79,31/03/2019,BRFS3
24,-0.006,-0.005,-0.009,-0.008,-0.397,-0.098,0.161,-0.147,-0.007,0.051,0.67,6.09,5.09,11.22,31/12/2018,BRFS3
25,-0.017,-0.015,-0.026,-0.023,-0.262,-0.065,0.168,-0.093,-0.018,0.041,0.70,5.16,4.16,12.68,30/09/2018,BRFS3
26,0.002,0.002,0.003,0.003,-0.21,-0.05,0.184,-0.07,0.002,0.061,0.71,5.05,4.05,8.10,30/06/2018,BRFS3
27,0.029,0.025,0.044,0.038,-0.084,-0.022,0.209,-0.029,0.028,0.087,0.78,4.06,3.06,5.20,31/03/2018,BRFS3
28,0.024,0.02,0.036,0.03,-0.095,-0.026,0.206,-0.034,0.022,0.079,0.78,4.04,3.04,5.44,31/12/2017,BRFS3
29,0.028,0.024,0.042,0.036,-0.063,-0.018,0.203,-0.024,0.027,0.082,0.77,4.00,3.00,5.41,30/09/2017,BRFS3
30,0.025,0.021,0.038,0.032,-0.071,-0.021,0.203,-0.027,0.025,0.077,0.79,4.23,3.23,6.09,30/06/2017,BRFS3
31,0.038,0.032,0.057,0.049,-0.051,-0.017,0.208,-0.021,0.037,0.087,0.81,3.76,2.76,4.73,31/03/2017,BRFS3
32,0.057,0.051,0.086,0.078,-0.028,-0.009,0.223,-0.011,0.054,0.101,0.84,3.63,2.63,3.69,31/12/2016,BRFS3
33,0.113,0.1,0.171,0.152,0.108,0.038,0.253,0.044,0.094,0.139,0.85,3.48,2.48,2.70,30/09/2016,BRFS3
34,0.128,0.115,0.194,0.175,0.163,0.065,0.276,0.07,0.11,0.152,0.94,3.31,2.31,2.39,30/06/2016,BRFS3
35,0.145,0.129,0.22,0.196,0.181,0.073,0.299,0.081,0.128,0.169,0.91,3.08,2.08,2.06,31/03/2016,BRFS3
36,0.147,0.132,0.223,0.2,0.2,0.086,0.313,0.097,0.131,0.172,0.89,2.99,1.99,1.77,31/12/2015,BRFS3
37,0.145,0.126,0.219,0.191,0.177,0.08,0.319,0.087,0.13,0.173,0.93,2.88,1.88,1.33,30/09/2015,BRFS3
38,0.144,0.124,0.219,0.189,0.163,0.074,0.315,0.081,0.13,0.173,0.91,2.49,1.49,1.29,30/06/2015,BRFS3
39,0.124,0.108,0.188,0.163,0.157,0.074,0.303,0.081,0.121,0.164,0.92,2.48,1.48,1.43,31/03/2015,BRFS3
40,0.122,0.106,0.186,0.16,0.152,0.069,0.293,0.077,0.12,0.162,0.90,2.32,1.32,1.19,31/12/2014,BRFS3
41,0.087,0.077,0.132,0.117,0.096,0.044,0.268,0.045,0.084,0.123,0.98,2.20,1.20,1.55,30/09/2014,BRFS3
42,0.073,0.064,0.11,0.098,0.074,0.034,0.257,0.035,0.071,0.11,0.98,2.21,1.21,1.70,30/06/2014,BRFS3
43,0.066,0.058,0.1,0.088,0.068,0.034,0.253,0.033,0.065,0.104,1.01,2.12,1.12,2.07,31/03/2014,BRFS3
44,0.068,0.058,0.103,0.089,0.073,0.034,0.248,0.035,0.064,0.103,0.99,2.21,1.21,2.25,31/12/2013,BRFS3
45,0.067,0.064,0.102,0.097,0.1,0.045,0.249,0.047,0.069,0.106,0.96,2.15,1.15,2.34,30/09/2013,BRFS3
46,0.061,0.057,0.092,0.087,0.087,0.039,0.239,0.041,0.062,0.098,0.96,2.17,1.17,2.64,30/06/2013,BRFS3
47,0.054,0.051,0.082,0.078,0.071,0.034,0.232,0.035,0.056,0.09,0.99,2.03,1.03,2.92,31/03/2013,BRFS3
48,0.047,0.044,0.07,0.067,0.058,0.027,0.226,0.028,0.049,0.083,0.95,2.12,1.12,3.22,31/12/2012,BRFS3
49,0.044,0.042,0.066,0.063,0.026,0.013,0.229,0.014,0.047,0.081,0.93,2.23,1.23,3.41,30/09/2012,BRFS3
50,0.053,0.05,0.08,0.076,0.045,0.022,0.24,0.024,0.057,0.092,0.92,2.24,1.24,3.09,30/06/2012,BRFS3
51,0.063,0.06,0.095,0.091,0.081,0.041,0.248,0.044,0.067,0.102,0.93,2.07,1.07,2.60,31/03/2012,BRFS3
52,0.074,0.071,0.113,0.108,0.1,0.049,0.259,0.053,0.078,0.112,0.93,2.13,1.13,2.32,31/12/2011,BRFS3
53,0.081,0.076,0.122,0.116,0.119,0.059,0.262,0.064,0.082,0.115,0.92,2.08,1.08,2.18,30/09/2011,BRFS3
54,0.076,0.072,0.116,0.109,0.11,0.053,0.26,0.06,0.08,0.114,0.89,2.03,1.03,1.99,30/06/2011,BRFS3
55,0.069,0.066,0.105,0.099,0.086,0.041,0.26,0.048,0.076,0.111,0.86,1.99,0.99,2.00,31/03/2011,BRFS3
56,0.064,0.055,0.096,0.084,0.061,0.031,0.253,0.036,0.066,0.1,0.88,2.04,1.04,2.16,31/12/2010,BRFS3
57,0.04,0.038,0.06,0.057,0.035,0.018,0.258,0.022,0.048,,0.85,2.02,1.02,NA,30/09/2010,BRFS3
58,0.072,0.059,0.109,0.09,0.109,0.042,0.242,0.021,0.031,,2.04,2.08,1.08,NA,30/06/2010,BRFS3
59,0.033,0.028,0.05,0.042,0.104,0.037,0.234,0.022,0.017,,1.68,2.11,1.11,NA,31/03/2010,BRFS3
60,0.01,0.008,0.015,0.012,0.029,0.011,0.228,0.008,0.006,,1.42,1.96,0.96,NA,31/12/2009,BRFS3
61,0.019,0.037,0.028,0.056,,0.01,0.23,0.007,0.012,,1.37,1.94,0.94,NA,30/09/2009,BRFS3
62,0.032,0.068,0.048,0.103,,-0.018,0.239,-0.015,0.024,,1.22,2.59,1.59,NA,30/06/2009,BRFS3
63,0.034,0.036,0.051,0.054,-0.053,-0.025,0.239,-0.019,0.031,,1.30,2.81,1.81,NA,31/03/2009,BRFS3
64,0.076,0.079,0.115,0.12,0.017,0.008,0.242,0.005,0.039,,1.74,2.73,1.73,NA,31/12/2008,BRFS3
65,0.077,0.082,0.117,0.124,0.075,0.034,0.234,0.017,0.041,,2.03,19.461.95,19.460.95,NA,30/09/2008,BRFS3
66,0.094,0.1,0.142,0.151,0.143,0.066,0.249,0.036,0.052,,1.86,23.381.14,23.380.14,NA,30/06/2008,BRFS3
67,0.096,0.102,0.145,0.155,0.143,0.065,0.264,0.041,0.062,,1.59,2.09,1.09,NA,31/03/2008,BRFS3
68,0.108,0.114,0.163,0.174,0.153,0.066,0.282,0.048,0.074,,1.37,2.03,1.03,NA,31/12/2007,BRFS3
69,0.113,0.121,0.171,0.183,0.273,0.085,0.286,0.053,0.075,,1.61,2.21,1.21,NA,30/09/2007,BRFS3
70,0.101,0.108,0.152,0.164,0.221,0.07,0.277,0.044,0.063,,1.57,2.17,1.17,NA,30/06/2007,BRFS3
71,0.076,0.081,0.115,0.122,0.138,0.048,0.265,0.03,0.047,,1.62,2.20,1.20,NA,31/03/2007,BRFS3
72,0.06,0.065,0.091,0.098,0.096,0.032,0.258,0.022,0.039,,1.43,2.29,1.29,NA,31/12/2006,BRFS3
73,0.067,0.072,0.102,0.109,0.098,0.039,0.253,0.023,0.042,,1.69,3.21,2.21,NA,30/09/2006,BRFS3
74,0.104,0.112,0.158,0.169,0.176,0.071,0.258,0.039,0.059,,1.83,3.16,2.16,NA,30/06/2006,BRFS3
75,0.168,0.183,0.255,0.278,0.288,0.121,0.276,0.06,0.089,,2.02,2.85,1.85,NA,31/03/2006,BRFS3
76,0.204,0.221,0.31,0.335,0.372,0.143,0.284,0.07,0.104,,2.04,2.97,1.97,NA,31/12/2005,BRFS3
77,0.18,0.193,0.273,0.292,0.364,0.128,0.279,0.065,0.096,,1.96,2.48,1.48,NA,30/09/2005,BRFS3
78,0.179,0.193,0.272,0.292,0.316,0.096,0.272,0.055,0.088,,1.75,2.47,1.47,NA,30/06/2005,BRFS3
79,0.199,0.215,0.302,0.326,0.34,0.106,0.275,0.057,0.092,,1.84,2.37,1.37,NA,31/03/2005,BRFS3
80,0.187,0.201,0.284,0.304,0.387,0.106,0.277,0.06,0.094,,1.76,2.60,1.60,NA,31/12/2004,BRFS3
81,0.188,0.2,0.285,0.304,0.39,0.103,0.286,0.062,0.108,,1.67,2.85,1.85,NA,30/09/2004,BRFS3
82,0.198,0.212,0.3,0.322,0.408,0.105,0.292,0.064,0.119,,1.64,3.29,2.29,NA,30/06/2004,BRFS3
83,0.142,0.152,0.215,0.231,0.315,0.076,0.281,0.052,0.096,,1.47,3.22,2.22,NA,31/03/2004,BRFS3
84,0.109,0.118,0.165,0.179,0.183,0.041,0.267,0.032,0.073,,1.27,3.64,2.64,NA,31/12/2003,BRFS3
85,0.064,0.07,0.098,0.105,0.126,0.026,0.252,0.022,0.052,,1.15,3.79,2.79,NA,30/09/2003,BRFS3
86,0.058,0.063,0.088,0.095,0.028,0.007,0.255,0.006,0.051,,1.27,3.89,2.89,NA,30/06/2003,BRFS3
87,0.07,0.076,0.106,0.116,-0.024,-0.007,0.263,-0.005,0.058,,1.36,4.12,3.12,NA,31/03/2003,BRFS3
88,0.086,0.093,0.13,0.142,0.012,0.003,0.279,0.003,0.076,,1.20,4.45,3.45,NA,31/12/2002,BRFS3
89,0.167,0.178,0.253,0.27,0.114,0.035,0.3,0.02,0.098,,1.74,4.91,3.91,NA,30/09/2002,BRFS3
90,0.191,0.204,0.29,0.309,0.244,0.074,0.313,0.045,0.118,,1.66,3.98,2.98,NA,30/06/2002,BRFS3
91,0.182,0.201,0.275,0.304,0.315,0.08,0.33,0.069,0.143,,1.15,3.37,2.37,NA,31/03/2002,BRFS3
92,0.174,0.196,0.264,0.296,0.303,0.075,0.329,0.069,0.147,,1.09,3.60,2.60,NA,31/12/2001,BRFS3
93,0.063,0.067,0.095,0.102,0.089,0.025,0.252,0.026,0.074,,0.97,3.96,2.96,NA,31/03/2001,BRFS3
94,0.058,0.062,0.088,0.093,0.087,0.024,0.242,0.026,0.066,,0.95,4.03,3.03,NA,31/12/2000,BRFS3
95,0.06,0.063,0.091,0.096,0.112,0.032,0.246,0.033,0.065,,0.98,3.75,2.75,NA,30/09/2000,BRFS3
96,0.063,0.067,0.095,0.101,0.097,0.029,0.25,0.029,0.066,,1.01,3.62,2.62,NA,30/06/2000,BRFS3
97,0.073,0.078,0.111,0.118,0.124,0.038,0.265,0.037,0.074,,1.01,3.59,2.59,NA,31/03/2000,BRFS3
0,-0.014,-0.022,-0.021,-0.034,-2.836,-0.123,0.078,-0.146,-0.014,0.05,0.84,-21.24,-22.24,9.88,31/12/2024,BRKM3
1,-0.003,-0.004,-0.004,-0.006,-1.443,-0.079,0.078,-0.097,-0.003,0.067,0.81,-3.706.00,-3.707.00,6.58,30/09/2024,BRKM3
2,-0.024,-0.039,-0.037,-0.059,-1.254,-0.103,0.059,-0.129,-0.026,0.048,0.80,1.141.89,1.140.89,9.64,30/06/2024,BRKM3
3,-0.042,-0.064,-0.063,-0.098,-0.78,-0.068,0.047,-0.088,-0.048,0.027,0.76,30.34,29.34,15.18,31/03/2024,BRKM3
4,-0.037,-0.06,-0.056,-0.092,-0.625,-0.052,0.043,-0.065,-0.04,0.034,0.80,22.98,21.98,11.62,31/12/2023,BRKM3
5,-0.044,-0.073,-0.067,-0.11,-0.543,-0.051,0.026,-0.065,-0.05,0.023,0.79,18.32,17.32,17.57,30/09/2023,BRKM3
6,-0.027,-0.044,-0.041,-0.067,-0.359,-0.037,0.044,-0.042,-0.028,0.035,0.89,12.17,11.17,8.54,30/06/2023,BRKM3
7,0.013,0.02,0.019,0.031,-0.348,-0.046,0.081,-0.045,0.011,0.067,1.03,11.56,10.56,4.41,31/03/2023,BRKM3
8,0.049,0.082,0.075,0.125,-0.043,-0.004,0.118,-0.003,0.044,0.093,1.04,12.03,11.03,2.57,31/12/2022,BRKM3
9,0.135,0.187,0.204,0.284,0.149,0.02,0.172,0.018,0.093,0.137,1.12,10.61,9.61,1.66,30/09/2022,BRKM3
10,0.221,0.313,0.334,0.475,0.756,0.074,0.223,0.06,0.144,0.185,1.24,9.69,8.69,1.23,30/06/2022,BRKM3
11,0.328,0.506,0.498,0.767,,0.163,0.273,0.14,0.21,0.249,1.17,7.49,6.49,0.77,31/03/2022,BRKM3
12,0.406,0.665,0.615,1.008,-6.35,0.162,0.304,0.132,0.247,0.286,1.23,11.77,10.77,0.87,31/12/2021,BRKM3
13,0.301,0.538,0.455,0.816,-3.203,0.166,0.315,0.149,0.244,0.284,1.12,7.40,6.40,0.80,30/09/2021,BRKM3
14,0.221,0.369,0.334,0.559,-2.766,0.111,0.305,0.112,0.195,0.242,0.99,10.15,9.15,1.20,30/06/2021,BRKM3
15,0.089,0.149,0.135,0.226,0.548,-0.007,0.252,-0.008,0.092,0.15,0.89,218.66,217.66,2.88,31/03/2021,BRKM3
16,-0.001,-0.002,-0.002,-0.003,-1.37,-0.098,0.191,-0.114,-0.001,0.068,0.86,-39.09,-40.09,7.05,31/12/2020,BRKM3
17,-0.094,-0.107,-0.143,-0.162,-1.44,-0.16,0.15,-0.199,-0.091,-0.014,0.80,-19.30,-20.30,-44.28,30/09/2020,BRKM3
18,-0.073,-0.085,-0.111,-0.128,-1.179,-0.156,0.12,-0.199,-0.073,0.004,0.78,-25.01,-26.01,154.84,30/06/2020,BRKM3
19,-0.038,-0.043,-0.057,-0.064,-0.878,-0.119,0.117,-0.142,-0.034,0.038,0.84,-77.16,-78.16,14.77,31/03/2020,BRKM3
20,-0.001,-0.001,-0.002,-0.002,-0.412,-0.047,0.127,-0.054,-0.001,0.068,0.88,13.95,12.95,6.28,31/12/2019,BRKM3
21,0.104,0.112,0.157,0.17,0.006,0.001,0.131,0.001,0.086,0.147,0.90,9.01,8.01,2.77,30/09/2019,BRKM3
22,0.161,0.173,0.244,0.262,0.396,0.039,0.157,0.04,0.12,0.177,0.99,7.57,6.57,1.95,30/06/2019,BRKM3
23,0.193,0.21,0.292,0.318,0.398,0.06,0.184,0.055,0.147,0.2,1.10,7.38,6.38,1.67,31/03/2019,BRKM3
24,0.19,0.208,0.288,0.315,0.44,0.054,0.2,0.049,0.143,0.195,1.09,8.72,7.72,1.74,31/12/2018,BRKM3
25,0.222,0.254,0.337,0.385,0.431,0.063,0.233,0.06,0.168,0.221,1.05,8.47,7.47,1.65,30/09/2018,BRKM3
26,0.203,0.23,0.307,0.349,0.432,0.051,0.239,0.054,0.164,0.222,0.95,10.11,9.11,1.80,30/06/2018,BRKM3
27,0.229,0.258,0.347,0.392,0.625,0.064,0.239,0.067,0.168,0.228,0.95,6.61,5.61,1.66,31/03/2018,BRKM3
28,0.282,0.319,0.428,0.483,1.491,0.079,0.261,0.083,0.19,0.249,0.95,8.18,7.18,1.62,31/12/2017,BRKM3
29,0.127,0.193,0.192,0.293,0.218,0.022,0.258,0.024,0.121,0.181,0.92,6.88,5.88,1.88,30/09/2017,BRKM3
30,0.125,0.183,0.19,0.278,0.223,0.024,0.263,0.026,0.13,0.189,0.92,8.47,7.47,1.95,30/06/2017,BRKM3
31,0.122,0.188,0.185,0.285,0.132,0.01,0.271,0.012,0.131,0.189,0.85,9.78,8.78,1.75,31/03/2017,BRKM3
32,0.112,0.179,0.17,0.271,-0.203,-0.007,0.267,-0.009,0.125,0.181,0.79,18.92,17.92,1.93,31/12/2016,BRKM3
33,0.154,0.239,0.233,0.362,0.989,0.038,0.258,0.047,0.178,0.23,0.81,9.92,8.92,1.33,30/09/2016,BRKM3
34,0.178,0.254,0.27,0.385,0.603,0.057,0.252,0.06,0.178,0.225,0.94,9.15,8.15,1.52,30/06/2016,BRKM3
35,0.178,0.259,0.27,0.392,0.973,0.068,0.244,0.074,0.174,0.218,0.91,13.12,12.12,1.66,31/03/2016,BRKM3
36,0.156,0.208,0.236,0.315,0.52,0.064,0.22,0.066,0.149,0.194,0.96,29.65,28.65,2.17,31/12/2015,BRKM3
37,0.136,0.185,0.206,0.28,0.4,0.061,0.196,0.064,0.137,0.182,0.95,25.69,24.69,2.54,30/09/2015,BRKM3
38,0.11,0.141,0.167,0.214,0.203,0.036,0.168,0.037,0.108,0.154,0.97,10.61,9.61,2.57,30/06/2015,BRKM3
39,0.078,0.081,0.118,0.123,0.086,0.015,0.137,0.016,0.077,0.123,0.95,14.36,13.36,3.30,31/03/2015,BRKM3
40,0.082,0.108,0.124,0.164,0.114,0.018,0.13,0.019,0.078,0.122,0.95,8.18,7.18,2.91,31/12/2014,BRKM3
41,0.08,0.099,0.122,0.15,0.101,0.018,0.127,0.018,0.074,0.12,0.99,6.57,5.57,2.83,30/09/2014,BRKM3
42,0.092,0.099,0.139,0.15,0.121,0.022,0.131,0.021,0.079,0.126,1.02,5.63,4.63,2.62,30/06/2014,BRKM3
43,0.089,0.095,0.135,0.143,0.08,0.016,0.131,0.016,0.079,0.127,1.02,5.64,4.64,3.55,31/03/2014,BRKM3
44,0.075,0.079,0.114,0.12,0.059,0.012,0.126,0.012,0.067,0.117,1.00,6.41,5.41,2.97,31/12/2013,BRKM3
45,0.071,0.076,0.108,0.115,0.092,0.019,0.12,0.02,0.065,0.116,0.95,5.69,4.69,3.17,30/09/2013,BRKM3
46,0.052,0.055,0.078,0.084,0.028,0.006,0.106,0.006,0.049,0.102,0.92,5.63,4.63,4.09,30/06/2013,BRKM3
47,0.047,0.052,0.072,0.079,-0.068,-0.017,0.1,-0.018,0.046,0.099,0.93,4.82,3.82,4.14,31/03/2013,BRKM3
48,0.043,0.046,0.065,0.07,-0.075,-0.02,0.093,-0.021,0.043,0.098,0.95,4.80,3.80,4.10,31/12/2012,BRKM3
49,0.04,0.043,0.061,0.065,-0.122,-0.033,0.088,-0.034,0.038,0.091,0.96,4.93,3.93,4.15,30/09/2012,BRKM3
50,0.04,0.044,0.061,0.067,-0.195,-0.061,0.089,-0.061,0.04,0.093,0.99,4.79,3.79,4.16,30/06/2012,BRKM3
51,0.051,0.055,0.077,0.083,-0.063,-0.02,0.103,-0.02,0.051,0.102,0.98,4.02,3.02,3.29,31/03/2012,BRKM3
52,0.058,0.062,0.088,0.094,-0.05,-0.015,0.116,-0.016,0.058,0.11,0.96,3.84,2.84,3.33,31/12/2011,BRKM3
53,0.069,0.074,0.105,0.112,0.003,0.001,0.139,0.001,0.072,0.13,0.90,3.72,2.72,2.69,30/09/2011,BRKM3
54,0.074,0.078,0.111,0.118,0.163,0.045,0.15,0.053,0.082,0.14,0.85,3.21,2.21,2.34,30/06/2011,BRKM3
55,0.18,0.185,0.273,0.28,0.437,0.093,0.152,0.077,0.115,0.178,1.20,3.23,2.23,2.03,31/03/2011,BRKM3
56,0.19,0.187,0.288,0.283,0.4,0.086,0.16,0.074,0.126,0.189,1.15,3.32,2.32,2.10,31/12/2010,BRKM3
57,0.147,0.144,0.222,0.219,0.118,0.03,0.161,0.03,0.122,,1.00,3.35,2.35,NA,30/09/2010,BRKM3
58,0.148,0.142,0.225,0.216,0.146,0.033,0.181,0.039,0.141,,0.85,3.61,2.61,NA,30/06/2010,BRKM3
59,0.085,0.08,0.128,0.121,0.263,0.043,0.182,0.058,0.093,,0.74,4.72,3.72,NA,31/03/2010,BRKM3
60,0.07,0.066,0.107,0.1,0.249,0.04,0.169,0.06,0.084,,0.67,4.66,3.66,NA,31/12/2009,BRKM3
61,0.055,0.059,0.083,0.09,-0.055,-0.015,0.18,-0.022,0.085,,0.68,3.92,2.92,NA,30/09/2009,BRKM3
62,0.042,0.046,0.063,0.069,-0.262,-0.084,0.157,-0.113,0.06,,0.74,4.45,3.45,NA,30/06/2009,BRKM3
63,0.035,0.04,0.054,0.061,-0.439,-0.121,0.152,-0.153,0.049,,0.79,6.09,5.09,NA,31/03/2009,BRKM3
64,0.046,0.053,0.07,0.081,-0.433,-0.119,0.157,-0.139,0.054,,0.86,6.17,5.17,NA,31/12/2008,BRKM3
65,0.05,0.063,0.076,0.096,-0.059,-0.018,0.152,-0.019,0.057,,0.95,3.72,2.72,NA,30/09/2008,BRKM3
66,0.056,0.071,0.086,0.108,0.107,0.031,0.16,0.034,0.065,,0.91,3.12,2.12,NA,30/06/2008,BRKM3
67,0.101,0.117,0.153,0.177,0.118,0.033,0.171,0.028,0.084,,1.19,3.61,2.61,NA,31/03/2008,BRKM3
68,0.093,0.107,0.14,0.163,0.127,0.034,0.183,0.031,0.084,,1.08,3.63,2.63,NA,31/12/2007,BRKM3
69,0.09,0.106,0.137,0.161,0.138,0.037,0.2,0.037,0.1,,1.00,3.26,2.26,NA,30/09/2007,BRKM3
70,0.087,0.102,0.131,0.154,0.094,0.027,0.197,0.028,0.098,,0.97,3.41,2.41,NA,30/06/2007,BRKM3
71,0.066,0.08,0.101,0.121,0.019,0.006,0.182,0.007,0.079,,0.85,3.58,2.58,NA,31/03/2007,BRKM3
72,0.069,0.088,0.104,0.132,0.022,0.007,0.169,0.008,0.079,,0.83,3.78,2.78,NA,31/12/2006,BRKM3
73,0.052,0.064,0.078,0.096,-0.007,-0.002,0.156,-0.003,0.069,,0.84,3.71,2.71,NA,30/09/2006,BRKM3
74,0.052,0.065,0.078,0.098,0.012,0.004,0.152,0.005,0.066,,0.78,3.45,2.45,NA,30/06/2006,BRKM3
75,0.073,0.092,0.11,0.139,0.123,0.036,0.18,0.043,0.09,,0.83,3.42,2.42,NA,31/03/2006,BRKM3
76,0.093,0.114,0.141,0.173,0.15,0.042,0.208,0.048,0.112,,0.88,3.44,2.44,NA,31/12/2005,BRKM3
77,0.103,0.125,0.156,0.19,0.304,0.071,0.233,0.092,0.132,,0.77,3.16,2.16,NA,30/09/2005,BRKM3
